dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,y
0.034052674,0.05857387,0.044262134,0.15214169,0.12261212,0.47779703,0.033107013,0.07080416,0.67102367,0.9228243,0.93482256,0.7867331,0.5934316,0.8330487,0.75099635,0.98061895,0.0
0.11285218,0.32133973,0.27135384,0.396878,0.42238882,0.278472,0.11081007,0.33585238,0.735504,0.8715137,0.79313797,0.90354884,0.00711186,0.003603016,0.88498694,0.9749786,0.0
0.11538933,0.31433427,0.2880039,0.38208973,0.47107646,0.4964478,0.1127777,0.33960813,0.71667063,0.95843965,0.91451055,0.7735138,0.007560945,0.0029833154,0.73619956,0.98719496,0.0
0.117855795,0.3253018,0.28493395,0.39640433,0.44677746,0.40386444,0.116705365,0.34321982,0.73136455,0.85400116,0.82687145,0.8299115,0.007176315,0.0031837146,0.7998458,0.89367515,0.0
0.11837422,0.31233156,0.27314466,0.41327822,0.40654686,0.16567951,0.11553922,0.34397414,0.7005384,0.97309965,0.988408,0.9515831,0.0066350177,0.0037247576,0.94176984,0.9946587,0.0
0.11892014,0.3197828,0.28764445,0.39421687,0.45432997,0.47566107,0.11623435,0.3447667,0.7088709,0.9632656,0.9065322,0.8166363,0.007181963,0.0031094993,0.7847425,0.99531627,0.0
0.11969778,0.33746567,0.2856001,0.39971384,0.44380063,0.43419543,0.117639795,0.34589252,0.6661311,0.9246775,0.72537506,0.84446114,0.0070208427,0.003216693,0.8164853,0.99355215,0.0
0.119862735,0.31716356,0.28823483,0.39688402,0.4519569,0.46675575,0.11717258,0.34613085,0.6927661,0.9622495,0.95294815,0.8216962,0.007112696,0.0031161134,0.79049045,0.9869126,0.0
0.1205147,0.3201626,0.28896222,0.39779687,0.45207024,0.46718663,0.11792088,0.34707126,0.6955958,0.9556305,0.92726403,0.82221,0.0070784246,0.0031080227,0.7910745,0.99264956,0.0
0.1210999,0.3182752,0.29396164,0.39288503,0.467229,0.52023613,0.11820957,0.34791318,0.7345862,0.97250646,0.9592725,0.7831789,0.007224304,0.0029356354,0.7470107,0.99366957,0.0
