dim0,dim1,y
401700.0,331102.0,6.0
405799.0,334358.0,6.0
392857.0,332716.0,6.0
402726.0,329144.0,6.0
401008.0,329692.0,6.0
395865.0,331895.0,6.0
398629.0,330242.0,6.0
401083.0,333684.0,6.0
411316.0,328971.0,6.0
408758.0,332360.0,6.0
395731.0,330480.0,6.0
409597.0,335339.0,6.0
402294.0,325996.0,6.0
399801.0,329982.0,6.0
402260.0,330394.0,6.0
399352.0,322567.0,6.0
399607.0,333888.0,6.0
404711.0,339310.0,6.0
404456.0,329715.0,6.0
404482.0,331351.0,6.0
402123.0,328751.0,6.0
396182.0,330827.0,6.0
402268.0,329032.0,6.0
405155.0,330195.0,6.0
401546.0,335246.0,6.0
403272.0,327661.0,6.0
402299.0,328418.0,6.0
399040.0,329665.0,6.0
400929.0,329676.0,6.0
397510.0,334280.0,6.0
402809.0,336672.0,6.0
396373.0,326559.0,6.0
396620.0,327645.0,6.0
397440.0,331382.0,6.0
390689.0,327871.0,6.0
404549.0,336725.0,6.0
401028.0,335250.0,6.0
397613.0,331520.0,6.0
404333.0,332207.0,6.0
394588.0,328394.0,6.0
399677.0,332370.0,6.0
399236.0,333471.0,6.0
401009.0,330546.0,6.0
400989.0,336166.0,6.0
397265.0,331837.0,6.0
399905.0,329644.0,6.0
399479.0,331115.0,6.0
401985.0,333649.0,6.0
403457.0,329093.0,6.0
403508.0,330082.0,6.0
397269.0,337194.0,6.0
400245.0,328533.0,6.0
396161.0,332594.0,6.0
396479.0,332222.0,6.0
399978.0,334997.0,6.0
404847.0,332140.0,6.0
397566.0,322000.0,6.0
401174.0,327435.0,6.0
399287.0,331539.0,6.0
403533.0,331164.0,6.0
396556.0,335830.0,6.0
400103.0,334435.0,6.0
401747.0,331738.0,6.0
403480.0,330609.0,6.0
404883.0,325616.0,6.0
400272.0,335889.0,6.0
395283.0,329950.0,6.0
397653.0,324901.0,6.0
396643.0,331028.0,6.0
407433.0,331067.0,6.0
398053.0,328011.0,6.0
402366.0,331788.0,6.0
399392.0,327713.0,6.0
402810.0,326040.0,6.0
397581.0,324238.0,6.0
395566.0,328412.0,6.0
395502.0,327577.0,6.0
401544.0,331539.0,6.0
399439.0,325216.0,6.0
399380.0,329283.0,6.0
404488.0,325713.0,6.0
400922.0,335786.0,6.0
400626.0,329695.0,6.0
405021.0,334360.0,6.0
397456.0,331303.0,6.0
402203.0,333079.0,6.0
402641.0,326632.0,6.0
399229.0,333880.0,6.0
400682.0,334638.0,6.0
396313.0,323097.0,6.0
396370.0,329082.0,6.0
400332.0,327981.0,6.0
402284.0,330721.0,6.0
408176.0,328142.0,6.0
397891.0,330667.0,6.0
400592.0,331938.0,6.0
399739.0,330744.0,6.0
393887.0,329016.0,6.0
398612.0,325804.0,6.0
394325.0,329614.0,6.0
402658.0,328627.0,6.0
397192.0,325695.0,6.0
400317.0,329855.0,6.0
398278.0,329168.0,6.0
400960.0,330700.0,6.0
398102.0,332932.0,6.0
401549.0,331968.0,6.0
402338.0,334342.0,6.0
405413.0,328247.0,6.0
399386.0,327218.0,6.0
393238.0,329025.0,6.0
397345.0,334087.0,6.0
404284.0,334530.0,6.0
396610.0,329265.0,6.0
403039.0,328426.0,6.0
400392.0,325255.0,6.0
404543.0,332568.0,6.0
393799.0,329452.0,6.0
399375.0,326232.0,6.0
396180.0,328565.0,6.0
409196.0,325163.0,6.0
402610.0,331614.0,6.0
404361.0,329889.0,6.0
396654.0,334798.0,6.0
398518.0,325574.0,6.0
399138.0,332967.0,6.0
403474.0,330799.0,6.0
399121.0,330172.0,6.0
402218.0,332477.0,6.0
393512.0,333106.0,6.0
398881.0,326518.0,6.0
397396.0,333889.0,6.0
395013.0,325694.0,6.0
401606.0,326781.0,6.0
400892.0,327973.0,6.0
400106.0,332328.0,6.0
395783.0,326212.0,6.0
403565.0,331410.0,6.0
401107.0,331407.0,6.0
399054.0,330390.0,6.0
400072.0,331752.0,6.0
399171.0,326227.0,6.0
394465.0,332617.0,6.0
399097.0,330267.0,6.0
397371.0,332034.0,6.0
396903.0,326596.0,6.0
396343.0,329798.0,6.0
398313.0,332593.0,6.0
393667.0,332558.0,6.0
403049.0,330040.0,6.0
401645.0,324332.0,6.0
399937.0,326543.0,6.0
399890.0,330677.0,6.0
397476.0,332247.0,6.0
403221.0,331779.0,6.0
399579.0,328030.0,6.0
397740.0,336836.0,6.0
404273.0,330655.0,6.0
399289.0,332652.0,6.0
398137.0,328506.0,6.0
399071.0,326399.0,6.0
397319.0,331888.0,6.0
396458.0,332911.0,6.0
407988.0,336532.0,6.0
405235.0,328859.0,6.0
400973.0,324975.0,6.0
396025.0,334691.0,6.0
397263.0,330557.0,6.0
399442.0,326398.0,6.0
402503.0,328491.0,6.0
395788.0,327034.0,6.0
392632.0,332916.0,6.0
395418.0,331405.0,6.0
401055.0,330869.0,6.0
401238.0,330880.0,6.0
401428.0,327558.0,6.0
399588.0,333084.0,6.0
400581.0,331148.0,6.0
398494.0,329028.0,6.0
402726.0,329691.0,6.0
395694.0,329249.0,6.0
401439.0,327353.0,6.0
397316.0,332064.0,6.0
