dim0,dim1,dim2,dim3,dim4,dim5,dim6,y
-64.0,-56.0,-61.0,-66.0,-71.0,-82.0,-81.0,0.0
-68.0,-57.0,-61.0,-65.0,-71.0,-85.0,-85.0,0.0
-63.0,-60.0,-60.0,-67.0,-76.0,-85.0,-84.0,0.0
-61.0,-60.0,-68.0,-62.0,-77.0,-90.0,-80.0,0.0
-63.0,-65.0,-60.0,-63.0,-77.0,-81.0,-87.0,0.0
-64.0,-55.0,-63.0,-66.0,-76.0,-88.0,-83.0,0.0
-65.0,-61.0,-65.0,-67.0,-69.0,-87.0,-84.0,0.0
-61.0,-63.0,-58.0,-66.0,-74.0,-87.0,-82.0,0.0
-65.0,-60.0,-59.0,-63.0,-76.0,-86.0,-82.0,0.0
-62.0,-60.0,-66.0,-68.0,-80.0,-86.0,-91.0,0.0
-67.0,-61.0,-62.0,-67.0,-77.0,-83.0,-91.0,0.0
-65.0,-59.0,-61.0,-67.0,-72.0,-86.0,-81.0,0.0
-63.0,-57.0,-61.0,-65.0,-73.0,-84.0,-84.0,0.0
-66.0,-60.0,-65.0,-62.0,-70.0,-85.0,-83.0,0.0
-61.0,-59.0,-65.0,-63.0,-74.0,-89.0,-87.0,0.0
-67.0,-60.0,-59.0,-61.0,-71.0,-86.0,-91.0,0.0
-63.0,-56.0,-60.0,-62.0,-70.0,-84.0,-91.0,0.0
-60.0,-54.0,-59.0,-65.0,-73.0,-83.0,-84.0,0.0
-60.0,-58.0,-60.0,-61.0,-73.0,-84.0,-88.0,0.0
-62.0,-59.0,-63.0,-64.0,-70.0,-84.0,-84.0,0.0
-63.0,-59.0,-64.0,-66.0,-72.0,-84.0,-90.0,0.0
-65.0,-59.0,-66.0,-65.0,-68.0,-82.0,-85.0,0.0
-63.0,-56.0,-63.0,-65.0,-72.0,-82.0,-89.0,0.0
-67.0,-60.0,-66.0,-65.0,-75.0,-86.0,-87.0,0.0
-63.0,-57.0,-67.0,-66.0,-79.0,-86.0,-89.0,0.0
-66.0,-59.0,-64.0,-68.0,-68.0,-97.0,-83.0,0.0
-65.0,-61.0,-64.0,-68.0,-77.0,-86.0,-89.0,0.0
-66.0,-57.0,-65.0,-69.0,-78.0,-85.0,-85.0,0.0
-67.0,-57.0,-64.0,-71.0,-75.0,-89.0,-87.0,0.0
-65.0,-62.0,-62.0,-65.0,-77.0,-84.0,-85.0,0.0
-61.0,-54.0,-60.0,-61.0,-74.0,-87.0,-83.0,0.0
-65.0,-53.0,-60.0,-62.0,-69.0,-85.0,-83.0,0.0
-66.0,-55.0,-63.0,-65.0,-68.0,-85.0,-90.0,0.0
-63.0,-57.0,-59.0,-67.0,-71.0,-82.0,-93.0,0.0
-63.0,-57.0,-62.0,-65.0,-76.0,-82.0,-88.0,0.0
-64.0,-57.0,-62.0,-67.0,-68.0,-83.0,-84.0,0.0
-68.0,-63.0,-68.0,-64.0,-74.0,-86.0,-84.0,0.0
-70.0,-62.0,-68.0,-65.0,-81.0,-89.0,-83.0,0.0
-67.0,-59.0,-62.0,-66.0,-80.0,-96.0,-82.0,0.0
-66.0,-59.0,-64.0,-67.0,-77.0,-87.0,-85.0,0.0
-66.0,-59.0,-65.0,-68.0,-75.0,-88.0,-84.0,0.0
-67.0,-59.0,-62.0,-65.0,-71.0,-91.0,-84.0,0.0
-69.0,-61.0,-62.0,-62.0,-75.0,-85.0,-84.0,0.0
-68.0,-58.0,-65.0,-65.0,-76.0,-87.0,-82.0,0.0
-66.0,-62.0,-64.0,-68.0,-73.0,-89.0,-83.0,0.0
-68.0,-58.0,-65.0,-67.0,-83.0,-89.0,-86.0,0.0
-65.0,-58.0,-62.0,-67.0,-77.0,-86.0,-91.0,0.0
-65.0,-58.0,-64.0,-69.0,-81.0,-88.0,-90.0,0.0
-65.0,-56.0,-63.0,-71.0,-77.0,-89.0,-85.0,0.0
-64.0,-59.0,-65.0,-70.0,-84.0,-90.0,-89.0,0.0
-64.0,-56.0,-64.0,-70.0,-80.0,-91.0,-84.0,0.0
-68.0,-57.0,-64.0,-68.0,-77.0,-88.0,-85.0,0.0
-67.0,-56.0,-65.0,-68.0,-82.0,-96.0,-89.0,0.0
-66.0,-69.0,-63.0,-69.0,-79.0,-88.0,-86.0,0.0
-68.0,-57.0,-62.0,-68.0,-77.0,-91.0,-86.0,0.0
-62.0,-58.0,-61.0,-68.0,-70.0,-85.0,-86.0,0.0
-63.0,-58.0,-66.0,-68.0,-75.0,-90.0,-93.0,0.0
-62.0,-58.0,-57.0,-65.0,-70.0,-82.0,-91.0,0.0
-64.0,-51.0,-57.0,-67.0,-68.0,-84.0,-82.0,0.0
-62.0,-56.0,-61.0,-67.0,-67.0,-81.0,-85.0,0.0
-63.0,-53.0,-60.0,-68.0,-67.0,-87.0,-85.0,0.0
-64.0,-54.0,-58.0,-69.0,-65.0,-86.0,-86.0,0.0
-62.0,-52.0,-61.0,-66.0,-65.0,-85.0,-89.0,0.0
-64.0,-54.0,-61.0,-63.0,-65.0,-88.0,-86.0,0.0
-58.0,-54.0,-61.0,-66.0,-75.0,-87.0,-86.0,0.0
-63.0,-55.0,-63.0,-68.0,-77.0,-87.0,-89.0,0.0
-64.0,-56.0,-64.0,-65.0,-75.0,-85.0,-90.0,0.0
-64.0,-56.0,-64.0,-67.0,-77.0,-81.0,-85.0,0.0
-63.0,-57.0,-65.0,-69.0,-77.0,-81.0,-85.0,0.0
-63.0,-61.0,-61.0,-68.0,-72.0,-87.0,-92.0,0.0
-59.0,-55.0,-62.0,-64.0,-68.0,-77.0,-86.0,0.0
-64.0,-57.0,-62.0,-68.0,-71.0,-85.0,-85.0,0.0
-66.0,-58.0,-56.0,-66.0,-79.0,-86.0,-93.0,0.0
-63.0,-59.0,-58.0,-64.0,-74.0,-82.0,-90.0,0.0
-66.0,-57.0,-57.0,-64.0,-69.0,-84.0,-90.0,0.0
-59.0,-60.0,-57.0,-62.0,-67.0,-80.0,-84.0,0.0
-60.0,-57.0,-55.0,-66.0,-69.0,-82.0,-89.0,0.0
-61.0,-55.0,-63.0,-64.0,-69.0,-83.0,-82.0,0.0
-61.0,-60.0,-57.0,-61.0,-74.0,-81.0,-82.0,0.0
-65.0,-60.0,-60.0,-62.0,-75.0,-83.0,-79.0,0.0
-65.0,-56.0,-65.0,-63.0,-68.0,-82.0,-93.0,0.0
-63.0,-60.0,-69.0,-65.0,-71.0,-85.0,-86.0,0.0
-62.0,-57.0,-60.0,-65.0,-72.0,-83.0,-87.0,0.0
-65.0,-60.0,-62.0,-63.0,-75.0,-85.0,-82.0,0.0
-65.0,-60.0,-62.0,-68.0,-69.0,-84.0,-89.0,0.0
-67.0,-56.0,-62.0,-70.0,-69.0,-86.0,-84.0,0.0
-67.0,-61.0,-63.0,-64.0,-71.0,-85.0,-84.0,0.0
-71.0,-62.0,-65.0,-68.0,-83.0,-85.0,-86.0,0.0
-68.0,-64.0,-66.0,-73.0,-81.0,-86.0,-83.0,0.0
-68.0,-63.0,-65.0,-74.0,-81.0,-84.0,-89.0,0.0
-70.0,-64.0,-63.0,-69.0,-83.0,-85.0,-87.0,0.0
-72.0,-63.0,-64.0,-70.0,-81.0,-85.0,-87.0,0.0
-73.0,-62.0,-66.0,-65.0,-81.0,-87.0,-89.0,0.0
-73.0,-61.0,-65.0,-65.0,-77.0,-89.0,-90.0,0.0
-73.0,-63.0,-65.0,-70.0,-80.0,-89.0,-93.0,0.0
-74.0,-62.0,-66.0,-70.0,-76.0,-89.0,-87.0,0.0
-71.0,-62.0,-63.0,-69.0,-75.0,-85.0,-87.0,0.0
-71.0,-64.0,-64.0,-70.0,-78.0,-88.0,-94.0,0.0
-70.0,-64.0,-66.0,-73.0,-78.0,-87.0,-94.0,0.0
-72.0,-62.0,-63.0,-76.0,-81.0,-84.0,-91.0,0.0
-72.0,-59.0,-65.0,-75.0,-81.0,-84.0,-91.0,0.0
-69.0,-59.0,-59.0,-65.0,-78.0,-86.0,-87.0,0.0
-57.0,-58.0,-65.0,-62.0,-77.0,-80.0,-87.0,0.0
